kernel,module,batch,seq_len,hidden,intermediate,median_ms,p10_ms,p90_ms,min_ms,n_iters,dtype
naive_rmsnorm,RMSNorm,1,128,1024,4096,0.0045,0.0038,0.0207,0.0036,200,float32
naive_rmsnorm,RMSNorm,1,256,1024,4096,0.0043,0.0037,0.0046,0.0036,200,float32
naive_rmsnorm,RMSNorm,1,512,1024,4096,0.0064,0.0058,0.0103,0.0046,200,float32
naive_rmsnorm,RMSNorm,1,2048,1024,4096,0.0108,0.0104,0.0124,0.0102,200,float32
naive_rmsnorm,RMSNorm,4,512,1024,4096,0.0119,0.0104,0.0206,0.0103,200,float32
naive_rmsnorm,RMSNorm,4,2048,1024,4096,0.0761,0.0754,0.0783,0.0734,200,float32
naive_rmsnorm,RMSNorm,8,1024,1024,4096,0.0759,0.0754,0.0779,0.0733,200,float32
naive_rmsnorm,RMSNorm,1,128,2048,8192,0.0046,0.0042,0.0061,0.0041,200,float32
naive_rmsnorm,RMSNorm,1,256,2048,8192,0.006,0.0045,0.0065,0.0044,200,float32
naive_rmsnorm,RMSNorm,1,512,2048,8192,0.0084,0.0078,0.0089,0.0077,200,float32
naive_rmsnorm,RMSNorm,1,2048,2048,8192,0.0189,0.018,0.0268,0.018,200,float32
naive_rmsnorm,RMSNorm,4,512,2048,8192,0.0186,0.0181,0.0189,0.018,200,float32
naive_rmsnorm,RMSNorm,4,2048,2048,8192,0.1681,0.1654,0.1703,0.1615,200,float32
naive_rmsnorm,RMSNorm,8,1024,2048,8192,0.1681,0.164,0.18,0.162,200,float32
naive_rmsnorm,RMSNorm,1,128,4096,11008,0.0078,0.0064,0.0084,0.0063,200,float32
naive_rmsnorm,RMSNorm,1,256,4096,11008,0.0084,0.0078,0.0087,0.0077,200,float32
naive_rmsnorm,RMSNorm,1,512,4096,11008,0.0145,0.014,0.0149,0.0139,200,float32
naive_rmsnorm,RMSNorm,1,2048,4096,11008,0.0778,0.0758,0.08,0.0739,200,float32
naive_rmsnorm,RMSNorm,4,512,4096,11008,0.0777,0.076,0.0783,0.0742,200,float32
naive_rmsnorm,RMSNorm,4,2048,4096,11008,0.3443,0.3419,0.3464,0.3395,200,float32
naive_rmsnorm,RMSNorm,8,1024,4096,11008,0.3442,0.3423,0.3465,0.3399,200,float32
naive_rmsnorm,RMSNorm,1,128,1024,4096,0.0046,0.0038,0.0208,0.0036,200,float16
naive_rmsnorm,RMSNorm,1,256,1024,4096,0.0043,0.0037,0.0046,0.0036,200,float16
naive_rmsnorm,RMSNorm,1,512,1024,4096,0.0058,0.0044,0.0063,0.0043,200,float16
naive_rmsnorm,RMSNorm,1,2048,1024,4096,0.0101,0.0087,0.0107,0.0086,200,float16
naive_rmsnorm,RMSNorm,4,512,1024,4096,0.0102,0.0087,0.0106,0.0085,200,float16
naive_rmsnorm,RMSNorm,4,2048,1024,4096,0.0288,0.0283,0.0292,0.0282,200,float16
naive_rmsnorm,RMSNorm,8,1024,1024,4096,0.0288,0.0283,0.0367,0.0282,200,float16
naive_rmsnorm,RMSNorm,1,128,2048,8192,0.0046,0.0042,0.006,0.0041,200,float16
naive_rmsnorm,RMSNorm,1,256,2048,8192,0.0059,0.0043,0.0203,0.0041,200,float16
naive_rmsnorm,RMSNorm,1,512,2048,8192,0.0078,0.0065,0.0084,0.0064,200,float16
naive_rmsnorm,RMSNorm,1,2048,2048,8192,0.0146,0.014,0.022,0.0139,200,float16
naive_rmsnorm,RMSNorm,4,512,2048,8192,0.0147,0.014,0.016,0.0139,200,float16
naive_rmsnorm,RMSNorm,4,2048,2048,8192,0.1002,0.0984,0.1007,0.0979,200,float16
naive_rmsnorm,RMSNorm,8,1024,2048,8192,0.1001,0.0985,0.1008,0.0979,200,float16
naive_rmsnorm,RMSNorm,1,128,4096,11008,0.0078,0.0064,0.0142,0.0063,200,float16
naive_rmsnorm,RMSNorm,1,256,4096,11008,0.0084,0.0066,0.0204,0.0065,200,float16
naive_rmsnorm,RMSNorm,1,512,4096,11008,0.0125,0.0119,0.0128,0.0118,200,float16
naive_rmsnorm,RMSNorm,1,2048,4096,11008,0.0284,0.0269,0.0291,0.0267,200,float16
naive_rmsnorm,RMSNorm,4,512,4096,11008,0.0284,0.027,0.029,0.0267,200,float16
naive_rmsnorm,RMSNorm,4,2048,4096,11008,0.1968,0.1963,0.1987,0.1948,200,float16
naive_rmsnorm,RMSNorm,8,1024,4096,11008,0.1969,0.1963,0.2009,0.1948,200,float16
naive_rmsnorm,RMSNorm,1,128,1024,4096,0.0044,0.0037,0.0205,0.0036,200,bfloat16
naive_rmsnorm,RMSNorm,1,256,1024,4096,0.0043,0.0037,0.0046,0.0036,200,bfloat16
naive_rmsnorm,RMSNorm,1,512,1024,4096,0.0057,0.0044,0.0063,0.0043,200,bfloat16
naive_rmsnorm,RMSNorm,1,2048,1024,4096,0.0102,0.0087,0.0107,0.0085,200,bfloat16
naive_rmsnorm,RMSNorm,4,512,1024,4096,0.0103,0.0087,0.0107,0.0086,200,bfloat16
naive_rmsnorm,RMSNorm,4,2048,1024,4096,0.0291,0.0284,0.0378,0.0282,200,bfloat16
naive_rmsnorm,RMSNorm,8,1024,1024,4096,0.0288,0.0283,0.0292,0.0282,200,bfloat16
naive_rmsnorm,RMSNorm,1,128,2048,8192,0.0046,0.0042,0.0061,0.0041,200,bfloat16
naive_rmsnorm,RMSNorm,1,256,2048,8192,0.0058,0.0043,0.0211,0.0041,200,bfloat16
naive_rmsnorm,RMSNorm,1,512,2048,8192,0.008,0.0065,0.014,0.0064,200,bfloat16
naive_rmsnorm,RMSNorm,1,2048,2048,8192,0.0147,0.0141,0.016,0.0139,200,bfloat16
naive_rmsnorm,RMSNorm,4,512,2048,8192,0.0146,0.014,0.0225,0.0139,200,bfloat16
naive_rmsnorm,RMSNorm,4,2048,2048,8192,0.1001,0.0984,0.101,0.0979,200,bfloat16
naive_rmsnorm,RMSNorm,8,1024,2048,8192,0.1001,0.0982,0.1007,0.098,200,bfloat16
naive_rmsnorm,RMSNorm,1,128,4096,11008,0.0067,0.0064,0.0083,0.0063,200,bfloat16
naive_rmsnorm,RMSNorm,1,256,4096,11008,0.0079,0.0065,0.0085,0.0065,200,bfloat16
naive_rmsnorm,RMSNorm,1,512,4096,11008,0.0124,0.0119,0.0128,0.0118,200,bfloat16
naive_rmsnorm,RMSNorm,1,2048,4096,11008,0.0287,0.0271,0.0365,0.0266,200,bfloat16
naive_rmsnorm,RMSNorm,4,512,4096,11008,0.0284,0.0269,0.0291,0.0264,200,bfloat16
naive_rmsnorm,RMSNorm,4,2048,4096,11008,0.1969,0.1962,0.1992,0.1943,200,bfloat16
naive_rmsnorm,RMSNorm,8,1024,4096,11008,0.1971,0.1964,0.2031,0.1948,200,bfloat16
