kernel,module,batch,seq_len,hidden,intermediate,median_ms,p10_ms,p90_ms,min_ms,n_iters,dtype
naive_rmsnorm,RMSNorm,1,128,1024,4096,0.064,0.0051,0.0768,0.0041,200,float32
fused_rmsnorm_linear,RMSNormLinear,1,128,1024,4096,0.1362,0.1126,0.1783,0.1085,200,float32
naive_rmsnorm,RMSNorm,1,256,1024,4096,0.0262,0.0099,0.0284,0.006,200,float32
fused_rmsnorm_linear,RMSNormLinear,1,256,1024,4096,0.2471,0.2161,0.2632,0.1935,200,float32
naive_rmsnorm,RMSNorm,1,512,1024,4096,0.0318,0.0082,0.0563,0.0078,200,float32
fused_rmsnorm_linear,RMSNormLinear,1,512,1024,4096,0.4158,0.3896,0.4538,0.3738,200,float32
naive_rmsnorm,RMSNorm,1,2048,1024,4096,0.0202,0.0184,0.042,0.0183,200,float32
fused_rmsnorm_linear,RMSNormLinear,1,2048,1024,4096,1.538,1.4448,1.5698,1.4356,200,float32
naive_rmsnorm,RMSNorm,4,512,1024,4096,0.0628,0.0195,0.0717,0.0184,200,float32
fused_rmsnorm_linear,RMSNormLinear,4,512,1024,4096,1.538,1.45,1.5617,1.4399,200,float32
naive_rmsnorm,RMSNorm,4,2048,1024,4096,0.2796,0.2693,0.2858,0.2662,200,float32
fused_rmsnorm_linear,RMSNormLinear,4,2048,1024,4096,5.8911,5.773,6.3672,5.6402,200,float32
naive_rmsnorm,RMSNorm,8,1024,1024,4096,0.2755,0.2683,0.2877,0.2632,200,float32
fused_rmsnorm_linear,RMSNormLinear,8,1024,1024,4096,5.9295,5.775,6.3849,5.6412,200,float32
naive_rmsnorm,RMSNorm,1,128,2048,8192,0.0133,0.0072,0.033,0.0061,200,float32
fused_rmsnorm_linear,RMSNormLinear,1,128,2048,8192,0.3956,0.3835,0.4324,0.3738,200,float32
naive_rmsnorm,RMSNorm,1,256,2048,8192,0.0551,0.0275,0.0744,0.0092,200,float32
fused_rmsnorm_linear,RMSNormLinear,1,256,2048,8192,0.7895,0.7464,0.8449,0.725,200,float32
naive_rmsnorm,RMSNorm,1,512,2048,8192,0.0184,0.012,0.0423,0.0113,200,float32
fused_rmsnorm_linear,RMSNormLinear,1,512,2048,8192,1.6169,1.4939,1.6651,1.4833,200,float32
naive_rmsnorm,RMSNorm,1,2048,2048,8192,0.0552,0.0512,0.0584,0.0398,200,float32
fused_rmsnorm_linear,RMSNormLinear,1,2048,2048,8192,6.001,5.7055,6.2086,5.5788,200,float32
naive_rmsnorm,RMSNorm,4,512,2048,8192,0.054,0.0502,0.0611,0.0389,200,float32
fused_rmsnorm_linear,RMSNormLinear,4,512,2048,8192,5.7973,5.714,6.1902,5.3511,200,float32
naive_rmsnorm,RMSNorm,4,2048,2048,8192,0.5609,0.5356,0.5917,0.5304,200,float32
fused_rmsnorm_linear,RMSNormLinear,4,2048,2048,8192,23.5167,22.9691,24.4525,22.742,200,float32
naive_rmsnorm,RMSNorm,8,1024,2048,8192,0.5588,0.5366,0.593,0.532,200,float32
fused_rmsnorm_linear,RMSNormLinear,8,1024,2048,8192,23.3588,23.0334,24.4608,22.7748,200,float32
naive_rmsnorm,RMSNorm,1,128,4096,11008,0.0249,0.0091,0.0525,0.0082,200,float32
fused_rmsnorm_linear,RMSNormLinear,1,128,4096,11008,1.0984,1.0299,1.1356,1.0025,200,float32
naive_rmsnorm,RMSNorm,1,256,4096,11008,0.0222,0.0154,0.0736,0.0153,200,float32
fused_rmsnorm_linear,RMSNormLinear,1,256,4096,11008,2.1068,2.0398,2.2129,1.923,200,float32
naive_rmsnorm,RMSNorm,1,512,4096,11008,0.0215,0.0205,0.0247,0.0202,200,float32
fused_rmsnorm_linear,RMSNormLinear,1,512,4096,11008,4.4375,4.1241,4.6361,3.8943,200,float32
naive_rmsnorm,RMSNorm,1,2048,4096,11008,0.2721,0.2611,0.2834,0.258,200,float32
fused_rmsnorm_linear,RMSNormLinear,1,2048,4096,11008,15.7978,15.2888,16.6014,15.0241,200,float32
naive_rmsnorm,RMSNorm,4,512,4096,11008,0.2713,0.2603,0.2855,0.256,200,float32
fused_rmsnorm_linear,RMSNormLinear,4,512,4096,11008,15.5628,15.3043,16.4694,15.0385,200,float32
naive_rmsnorm,RMSNorm,4,2048,4096,11008,1.1134,1.069,1.1509,1.0578,200,float32
fused_rmsnorm_linear,RMSNormLinear,4,2048,4096,11008,66.8319,65.984,69.3038,65.068,200,float32
naive_rmsnorm,RMSNorm,8,1024,4096,11008,1.1131,1.07,1.1819,1.0605,200,float32
fused_rmsnorm_linear,RMSNormLinear,8,1024,4096,11008,66.8568,66.1051,68.5416,65.6251,200,float32
naive_rmsnorm,RMSNorm,1,128,1024,4096,0.0399,0.0051,0.0595,0.0041,200,float16
fused_rmsnorm_linear,RMSNormLinear,1,128,1024,4096,0.0665,0.0338,0.1064,0.0328,200,float16
naive_rmsnorm,RMSNorm,1,256,1024,4096,0.0297,0.006,0.0578,0.0051,200,float16
fused_rmsnorm_linear,RMSNormLinear,1,256,1024,4096,0.0859,0.0738,0.1004,0.0594,200,float16
naive_rmsnorm,RMSNorm,1,512,1024,4096,0.0133,0.0072,0.0285,0.0061,200,float16
fused_rmsnorm_linear,RMSNormLinear,1,512,1024,4096,0.176,0.1326,0.1804,0.1106,200,float16
naive_rmsnorm,RMSNorm,1,2048,1024,4096,0.0225,0.0171,0.0422,0.0162,200,float16
