module,batch,seq_len,hidden,intermediate,median_ms,p10_ms,p90_ms,min_ms,n_iters,dtype
RMSNorm,1,128,1024,4096,0.0879,0.0684,0.1592,0.057,200,float32
RMSNormLinear,1,128,1024,4096,0.1946,0.1894,0.21,0.1413,200,float32
RMSNormMLP,1,128,1024,4096,0.3308,0.3141,0.4907,0.255,200,float32
RMSNorm,1,256,1024,4096,0.087,0.0637,0.2414,0.05,200,float32
RMSNormLinear,1,256,1024,4096,0.3236,0.276,0.4555,0.2075,200,float32
RMSNormMLP,1,256,1024,4096,0.513,0.4747,0.6248,0.4086,200,float32
RMSNorm,1,512,1024,4096,0.0676,0.0632,0.0849,0.0575,200,float32
RMSNormLinear,1,512,1024,4096,0.4608,0.4506,0.5244,0.4115,200,float32
RMSNormMLP,1,512,1024,4096,0.8897,0.859,1.071,0.8346,200,float32
RMSNorm,1,2048,1024,4096,0.0911,0.0717,0.2329,0.0696,200,float32
RMSNormLinear,1,2048,1024,4096,1.6004,1.5437,2.1279,1.5002,200,float32
RMSNormMLP,1,2048,1024,4096,3.6523,3.2241,3.978,3.0546,200,float32
RMSNorm,4,512,1024,4096,0.0993,0.0758,0.23,0.0696,200,float32
RMSNormLinear,4,512,1024,4096,1.6101,1.5581,1.7401,1.5196,200,float32
RMSNormMLP,4,512,1024,4096,3.2875,3.2129,3.738,3.1066,200,float32
RMSNorm,4,2048,1024,4096,0.9081,0.8745,0.9514,0.8526,200,float32
RMSNormLinear,4,2048,1024,4096,6.679,6.3353,6.9429,6.2727,200,float32
RMSNormMLP,4,2048,1024,4096,13.4967,13.2688,14.3461,13.0662,200,float32
RMSNorm,8,1024,1024,4096,0.9127,0.8795,0.9575,0.852,200,float32
RMSNormLinear,8,1024,1024,4096,6.7057,6.3354,7.0056,6.2452,200,float32
RMSNormMLP,8,1024,1024,4096,13.5552,13.3353,14.4634,13.1164,200,float32
RMSNorm,1,128,2048,8192,0.0808,0.0661,0.1277,0.0205,200,float32
RMSNormLinear,1,128,2048,8192,0.5036,0.4659,0.6793,0.43,200,float32
RMSNormMLP,1,128,2048,8192,0.899,0.8817,1.0671,0.8346,200,float32
RMSNorm,1,256,2048,8192,0.2406,0.0758,0.2808,0.0632,200,float32
RMSNormLinear,1,256,2048,8192,0.8719,0.8248,1.0324,0.7782,200,float32
RMSNormMLP,1,256,2048,8192,1.6625,1.6086,1.8949,1.538,200,float32
RMSNorm,1,512,2048,8192,0.0723,0.0696,0.0859,0.041,200,float32
RMSNormLinear,1,512,2048,8192,1.7003,1.6336,1.9314,1.5708,200,float32
RMSNormMLP,1,512,2048,8192,3.5717,3.205,4.0501,3.0607,200,float32
RMSNorm,1,2048,2048,8192,0.2499,0.233,0.298,0.1987,200,float32
RMSNormLinear,1,2048,2048,8192,6.317,5.8937,6.6049,5.6904,200,float32
RMSNormMLP,1,2048,2048,8192,12.7212,12.2723,13.5997,12.0771,200,float32
RMSNorm,4,512,2048,8192,0.2503,0.2332,0.2845,0.212,200,float32
RMSNormLinear,4,512,2048,8192,6.3821,5.8571,6.6781,5.761,200,float32
RMSNormMLP,4,512,2048,8192,12.5039,12.2991,13.2805,12.1897,200,float32
RMSNorm,4,2048,2048,8192,1.9185,1.878,1.966,1.8504,200,float32
RMSNormLinear,4,2048,2048,8192,24.5319,24.1535,26.0194,23.7619,200,float32
RMSNormMLP,4,2048,2048,8192,50.4012,49.4041,52.7954,48.9492,200,float32
RMSNorm,8,1024,2048,8192,1.9517,1.8823,2.0675,1.8504,200,float32
