kernel,module,batch,seq_len,hidden,intermediate,median_ms,p10_ms,p90_ms,min_ms,n_iters,dtype
cuda_rmsnorm+pt_linear,RMSNormLinear,1,128,1024,4096,0.1413,0.1361,0.1863,0.1084,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,1,256,1024,4096,0.222,0.2191,0.2673,0.1956,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,1,512,1024,4096,0.4093,0.3983,0.4196,0.3748,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,1,2048,1024,4096,1.5452,1.5176,1.609,1.4438,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,4,512,1024,4096,1.54,1.4761,1.6028,1.452,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,4,2048,1024,4096,5.9689,5.718,6.3557,5.6371,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,8,1024,1024,4096,5.8832,5.8385,6.1944,5.5579,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,1,128,2048,8192,0.4212,0.3994,0.4372,0.3765,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,1,256,2048,8192,0.7912,0.7554,0.854,0.727,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,1,512,2048,8192,1.6301,1.5738,1.6863,1.492,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,1,2048,2048,8192,5.7947,5.6949,5.9558,5.6421,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,4,512,2048,8192,5.8034,5.718,6.1443,5.4323,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,4,2048,2048,8192,23.9302,22.9446,25.1604,22.5147,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,8,1024,2048,8192,23.4931,23.0691,24.1639,22.6765,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,1,128,4096,11008,1.0988,1.0801,1.1423,1.0127,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,1,256,4096,11008,2.1053,2.0028,2.1735,1.9466,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,1,512,4096,11008,4.2275,4.1894,4.5507,4.1083,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,1,2048,4096,11008,15.5633,15.2963,16.2704,15.0976,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,4,512,4096,11008,15.6252,15.3709,16.5206,15.1941,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,4,2048,4096,11008,67.1288,66.2412,70.4208,65.7755,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,8,1024,4096,11008,68.1523,66.681,72.4367,65.7783,200,float32
cuda_rmsnorm+pt_linear,RMSNormLinear,1,128,1024,4096,0.0614,0.0491,0.073,0.0338,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,256,1024,4096,0.087,0.0746,0.1058,0.0594,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,512,1024,4096,0.1403,0.1259,0.2059,0.1106,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,2048,1024,4096,0.4474,0.4239,0.503,0.4178,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,4,512,1024,4096,0.4622,0.4266,0.6006,0.4198,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,4,2048,1024,4096,1.6891,1.6711,1.769,1.6576,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,8,1024,1024,4096,1.6927,1.6768,1.7276,1.6568,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,128,2048,8192,0.1556,0.1454,0.1649,0.1303,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,256,2048,8192,0.2387,0.2243,0.2504,0.2181,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,512,2048,8192,0.4256,0.4188,0.4905,0.4178,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,2048,2048,8192,1.6173,1.6067,1.6517,1.5899,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,4,512,2048,8192,1.621,1.6054,1.6561,1.589,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,4,2048,2048,8192,6.408,6.3836,6.6321,6.3805,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,8,1024,2048,8192,6.4222,6.3862,6.7782,6.3773,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,128,4096,11008,0.434,0.4137,0.4853,0.3964,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,256,4096,11008,0.6127,0.5877,0.6534,0.5815,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,512,4096,11008,1.1119,1.0926,1.1951,1.074,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,2048,4096,11008,4.2956,4.2721,4.3623,4.2701,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,4,512,4096,11008,4.2834,4.2721,4.3236,4.2557,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,4,2048,4096,11008,16.6076,16.559,17.0917,16.5476,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,8,1024,4096,11008,16.6055,16.557,17.0838,16.5489,200,float16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,128,1024,4096,0.0616,0.05,0.092,0.0335,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,256,1024,4096,0.086,0.0834,0.131,0.0602,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,512,1024,4096,0.1246,0.1229,0.1371,0.1096,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,2048,1024,4096,0.4452,0.4195,0.4984,0.4176,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,4,512,1024,4096,0.4269,0.4198,0.4526,0.4197,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,4,2048,1024,4096,1.6763,1.664,1.7103,1.662,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,8,1024,1024,4096,1.6788,1.6671,1.7122,1.662,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,128,2048,8192,0.1525,0.1444,0.1615,0.128,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,256,2048,8192,0.24,0.2334,0.258,0.2179,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,512,2048,8192,0.425,0.4188,0.4637,0.4184,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,2048,2048,8192,1.6218,1.5903,1.9092,1.5882,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,4,512,2048,8192,1.6009,1.5903,1.7958,1.5881,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,4,2048,2048,8192,6.4215,6.4049,6.7061,6.402,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,8,1024,2048,8192,6.8163,6.4041,7.0481,6.4031,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,128,4096,11008,0.4157,0.4025,0.4344,0.3981,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,256,4096,11008,0.6072,0.5874,0.6449,0.5816,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,512,4096,11008,1.0936,1.0844,1.1839,1.0793,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,1,2048,4096,11008,4.2813,4.2781,4.3317,4.277,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,4,512,4096,11008,4.2824,4.2783,4.3785,4.277,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,4,2048,4096,11008,17.3202,16.5939,18.2265,16.5755,200,bfloat16
cuda_rmsnorm+pt_linear,RMSNormLinear,8,1024,4096,11008,16.618,16.5786,17.2646,16.5765,200,bfloat16
