config,kernel,module,batch,seq_len,hidden,intermediate,median_ms,p10_ms,p90_ms,min_ms,n_iters,dtype
launch_b1_s16_h128_o256,fused_rmsnorm_linear,RMSNormLinear,1,16,128,256,0.0325,0.0304,0.0516,0.0256,50,float32
launch_b1_s16_h128_o256,naive_rmsnorm_linear,RMSNormLinear,1,16,128,256,0.0256,0.0195,0.0435,0.0133,50,float32
launch_b1_s16_h128_o256,tiled_rmsnorm_linear,RMSNormLinear,1,16,128,256,0.0278,0.0275,0.0288,0.0206,50,float32
launch_b1_s16_h128_o256,prologue_rmsnorm_linear,RMSNormLinear,1,16,128,256,0.0348,0.0101,0.0366,0.0092,50,float32
balanced_b1_s128_h512_o1024,fused_rmsnorm_linear,RMSNormLinear,1,128,512,1024,0.047,0.045,0.0679,0.0328,50,float32
balanced_b1_s128_h512_o1024,naive_rmsnorm_linear,RMSNormLinear,1,128,512,1024,0.4646,0.4628,0.4946,0.4618,50,float32
balanced_b1_s128_h512_o1024,tiled_rmsnorm_linear,RMSNormLinear,1,128,512,1024,0.1054,0.1044,0.1204,0.1042,50,float32
balanced_b1_s128_h512_o1024,prologue_rmsnorm_linear,RMSNormLinear,1,128,512,1024,0.1096,0.1092,0.1146,0.1085,50,float32
balanced_b1_s256_h1024_o2048,fused_rmsnorm_linear,RMSNormLinear,1,256,1024,2048,0.1229,0.1116,0.137,0.1096,50,float32
balanced_b1_s256_h1024_o2048,naive_rmsnorm_linear,RMSNormLinear,1,256,1024,2048,3.5117,3.4847,3.7994,3.4823,50,float32
balanced_b1_s256_h1024_o2048,tiled_rmsnorm_linear,RMSNormLinear,1,256,1024,2048,0.7074,0.7065,0.7272,0.7055,50,float32
balanced_b1_s256_h1024_o2048,prologue_rmsnorm_linear,RMSNormLinear,1,256,1024,2048,0.7438,0.7394,0.7669,0.7392,50,float32
prologue_b1_s512_h1024_o64,fused_rmsnorm_linear,RMSNormLinear,1,512,1024,64,0.0681,0.0358,0.0917,0.0338,50,float32
prologue_b1_s512_h1024_o64,naive_rmsnorm_linear,RMSNormLinear,1,512,1024,64,0.2376,0.2362,0.2438,0.2314,50,float32
prologue_b1_s512_h1024_o64,tiled_rmsnorm_linear,RMSNormLinear,1,512,1024,64,0.0655,0.0654,0.0912,0.0646,50,float32
prologue_b1_s512_h1024_o64,prologue_rmsnorm_linear,RMSNormLinear,1,512,1024,64,0.0764,0.0663,0.0778,0.0652,50,float32
prologue_b4_s512_h1024_o64,fused_rmsnorm_linear,RMSNormLinear,4,512,1024,64,0.1596,0.1566,0.1673,0.1536,50,float32
prologue_b4_s512_h1024_o64,naive_rmsnorm_linear,RMSNormLinear,4,512,1024,64,0.9155,0.8918,0.9237,0.8909,50,float32
prologue_b4_s512_h1024_o64,tiled_rmsnorm_linear,RMSNormLinear,4,512,1024,64,0.2101,0.2095,0.2171,0.2089,50,float32
prologue_b4_s512_h1024_o64,prologue_rmsnorm_linear,RMSNormLinear,4,512,1024,64,0.213,0.212,0.2407,0.212,50,float32
prologue_b1_s512_h2048_o128,fused_rmsnorm_linear,RMSNormLinear,1,512,2048,128,0.101,0.0643,0.1211,0.0603,50,float32
prologue_b1_s512_h2048_o128,naive_rmsnorm_linear,RMSNormLinear,1,512,2048,128,0.9379,0.8919,0.9616,0.8896,50,float32
prologue_b1_s512_h2048_o128,tiled_rmsnorm_linear,RMSNormLinear,1,512,2048,128,0.2589,0.214,0.2652,0.213,50,float32
prologue_b1_s512_h2048_o128,prologue_rmsnorm_linear,RMSNormLinear,1,512,2048,128,0.2181,0.2177,0.2191,0.2171,50,float32
prologue_b1_s512_h4096_o128,fused_rmsnorm_linear,RMSNormLinear,1,512,4096,128,0.1035,0.0683,0.1871,0.0676,50,float32
prologue_b1_s512_h4096_o128,naive_rmsnorm_linear,RMSNormLinear,1,512,4096,128,1.7975,1.7741,1.8933,1.7715,50,float32
prologue_b1_s512_h4096_o128,tiled_rmsnorm_linear,RMSNormLinear,1,512,4096,128,0.425,0.4209,0.4482,0.4205,50,float32
prologue_b1_s512_h4096_o128,prologue_rmsnorm_linear,RMSNormLinear,1,512,4096,128,0.4398,0.4291,0.7457,0.428,50,float32
prologue_b2_s512_h4096_o128,fused_rmsnorm_linear,RMSNormLinear,2,512,4096,128,0.1884,0.1864,0.2078,0.1853,50,float32
prologue_b2_s512_h4096_o128,naive_rmsnorm_linear,RMSNormLinear,2,512,4096,128,4.0119,3.6135,4.1804,3.6035,50,float32
prologue_b2_s512_h4096_o128,tiled_rmsnorm_linear,RMSNormLinear,2,512,4096,128,0.8581,0.8405,1.1288,0.8353,50,float32
prologue_b2_s512_h4096_o128,prologue_rmsnorm_linear,RMSNormLinear,2,512,4096,128,0.8216,0.8089,1.0055,0.8076,50,float32
launch_b1_s16_h128_o256,fused_rmsnorm_linear,RMSNormLinear,1,16,128,256,0.0359,0.0308,0.064,0.026,50,float16
launch_b1_s16_h128_o256,naive_rmsnorm_linear,RMSNormLinear,1,16,128,256,0.0129,0.0123,0.0306,0.0121,50,float16
launch_b1_s16_h128_o256,tiled_rmsnorm_linear,RMSNormLinear,1,16,128,256,0.0276,0.013,0.0392,0.0092,50,float16
launch_b1_s16_h128_o256,prologue_rmsnorm_linear,RMSNormLinear,1,16,128,256,0.0332,0.0112,0.1237,0.0091,50,float16
balanced_b1_s128_h512_o1024,fused_rmsnorm_linear,RMSNormLinear,1,128,512,1024,0.0299,0.0282,0.0592,0.0113,50,float16
balanced_b1_s128_h512_o1024,naive_rmsnorm_linear,RMSNormLinear,1,128,512,1024,0.4884,0.4475,0.7939,0.4432,50,float16
balanced_b1_s128_h512_o1024,tiled_rmsnorm_linear,RMSNormLinear,1,128,512,1024,0.1454,0.1065,0.1735,0.0993,50,float16
balanced_b1_s128_h512_o1024,prologue_rmsnorm_linear,RMSNormLinear,1,128,512,1024,0.1154,0.1044,0.1606,0.104,50,float16
balanced_b1_s256_h1024_o2048,fused_rmsnorm_linear,RMSNormLinear,1,256,1024,2048,0.1032,0.0399,0.1534,0.0345,50,float16
balanced_b1_s256_h1024_o2048,naive_rmsnorm_linear,RMSNormLinear,1,256,1024,2048,3.7862,3.3847,4.0804,3.3331,50,float16
balanced_b1_s256_h1024_o2048,tiled_rmsnorm_linear,RMSNormLinear,1,256,1024,2048,0.7122,0.7014,0.7651,0.7004,50,float16
balanced_b1_s256_h1024_o2048,prologue_rmsnorm_linear,RMSNormLinear,1,256,1024,2048,0.7622,0.7383,0.9621,0.7373,50,float16
prologue_b1_s512_h1024_o64,fused_rmsnorm_linear,RMSNormLinear,1,512,1024,64,0.0395,0.0247,0.0637,0.0133,50,float16
prologue_b1_s512_h1024_o64,naive_rmsnorm_linear,RMSNormLinear,1,512,1024,64,0.2324,0.2284,0.2589,0.2274,50,float16
prologue_b1_s512_h1024_o64,tiled_rmsnorm_linear,RMSNormLinear,1,512,1024,64,0.0655,0.0645,0.089,0.0645,50,float16
prologue_b1_s512_h1024_o64,prologue_rmsnorm_linear,RMSNormLinear,1,512,1024,64,0.0655,0.0646,0.0697,0.0645,50,float16
prologue_b4_s512_h1024_o64,fused_rmsnorm_linear,RMSNormLinear,4,512,1024,64,0.0382,0.0266,0.0533,0.0256,50,float16
prologue_b4_s512_h1024_o64,naive_rmsnorm_linear,RMSNormLinear,4,512,1024,64,0.921,0.8908,1.3018,0.8899,50,float16
prologue_b4_s512_h1024_o64,tiled_rmsnorm_linear,RMSNormLinear,4,512,1024,64,0.2086,0.207,0.2612,0.2068,50,float16
prologue_b4_s512_h1024_o64,prologue_rmsnorm_linear,RMSNormLinear,4,512,1024,64,0.2243,0.213,0.2473,0.2109,50,float16
prologue_b1_s512_h2048_o128,fused_rmsnorm_linear,RMSNormLinear,1,512,2048,128,0.1386,0.133,0.1677,0.0287,50,float16
prologue_b1_s512_h2048_o128,naive_rmsnorm_linear,RMSNormLinear,1,512,2048,128,0.898,0.8857,1.2583,0.8847,50,float16
prologue_b1_s512_h2048_o128,tiled_rmsnorm_linear,RMSNormLinear,1,512,2048,128,0.2284,0.2111,0.28,0.2109,50,float16
prologue_b1_s512_h2048_o128,prologue_rmsnorm_linear,RMSNormLinear,1,512,2048,128,0.2181,0.2171,0.2335,0.2171,50,float16
prologue_b1_s512_h4096_o128,fused_rmsnorm_linear,RMSNormLinear,1,512,4096,128,0.1179,0.1127,0.1825,0.0471,50,float16
prologue_b1_s512_h4096_o128,naive_rmsnorm_linear,RMSNormLinear,1,512,4096,128,1.7954,1.7632,1.8515,1.7623,50,float16
prologue_b1_s512_h4096_o128,tiled_rmsnorm_linear,RMSNormLinear,1,512,4096,128,0.4306,0.4168,0.471,0.4157,50,float16
prologue_b1_s512_h4096_o128,prologue_rmsnorm_linear,RMSNormLinear,1,512,4096,128,0.4289,0.4279,0.4784,0.426,50,float16
prologue_b2_s512_h4096_o128,fused_rmsnorm_linear,RMSNormLinear,2,512,4096,128,0.058,0.0571,0.066,0.0563,50,float16
prologue_b2_s512_h4096_o128,naive_rmsnorm_linear,RMSNormLinear,2,512,4096,128,3.5454,3.5133,3.6125,3.5123,50,float16
prologue_b2_s512_h4096_o128,tiled_rmsnorm_linear,RMSNormLinear,2,512,4096,128,0.7975,0.7844,1.0632,0.7834,50,float16
prologue_b2_s512_h4096_o128,prologue_rmsnorm_linear,RMSNormLinear,2,512,4096,128,0.8148,0.8087,1.0499,0.8069,50,float16
launch_b1_s16_h128_o256,fused_rmsnorm_linear,RMSNormLinear,1,16,128,256,0.0295,0.0258,0.0399,0.0072,50,bfloat16
launch_b1_s16_h128_o256,naive_rmsnorm_linear,RMSNormLinear,1,16,128,256,0.0841,0.0709,0.1182,0.0123,50,bfloat16
launch_b1_s16_h128_o256,tiled_rmsnorm_linear,RMSNormLinear,1,16,128,256,0.0737,0.0709,0.1306,0.0707,50,bfloat16
launch_b1_s16_h128_o256,prologue_rmsnorm_linear,RMSNormLinear,1,16,128,256,0.025,0.0092,0.034,0.0089,50,bfloat16
balanced_b1_s128_h512_o1024,fused_rmsnorm_linear,RMSNormLinear,1,128,512,1024,0.0389,0.0283,0.0454,0.0246,50,bfloat16
balanced_b1_s128_h512_o1024,naive_rmsnorm_linear,RMSNormLinear,1,128,512,1024,0.4503,0.4424,0.5152,0.4421,50,bfloat16
balanced_b1_s128_h512_o1024,tiled_rmsnorm_linear,RMSNormLinear,1,128,512,1024,0.1003,0.0993,0.1445,0.0992,50,bfloat16
balanced_b1_s128_h512_o1024,prologue_rmsnorm_linear,RMSNormLinear,1,128,512,1024,0.1044,0.1034,0.1276,0.1034,50,bfloat16
balanced_b1_s256_h1024_o2048,fused_rmsnorm_linear,RMSNormLinear,1,256,1024,2048,0.0599,0.0445,0.0675,0.0348,50,bfloat16
balanced_b1_s256_h1024_o2048,naive_rmsnorm_linear,RMSNormLinear,1,256,1024,2048,3.7528,3.3725,3.9369,3.3362,50,bfloat16
balanced_b1_s256_h1024_o2048,tiled_rmsnorm_linear,RMSNormLinear,1,256,1024,2048,0.7374,0.7014,0.7811,0.701,50,bfloat16
balanced_b1_s256_h1024_o2048,prologue_rmsnorm_linear,RMSNormLinear,1,256,1024,2048,0.743,0.7383,0.7917,0.7373,50,bfloat16
prologue_b1_s512_h1024_o64,fused_rmsnorm_linear,RMSNormLinear,1,512,1024,64,0.0331,0.0264,0.0483,0.0143,50,bfloat16
prologue_b1_s512_h1024_o64,naive_rmsnorm_linear,RMSNormLinear,1,512,1024,64,0.2529,0.2284,0.262,0.2276,50,bfloat16
prologue_b1_s512_h1024_o64,tiled_rmsnorm_linear,RMSNormLinear,1,512,1024,64,0.0774,0.0654,0.1277,0.0645,50,bfloat16
prologue_b1_s512_h1024_o64,prologue_rmsnorm_linear,RMSNormLinear,1,512,1024,64,0.0655,0.0651,0.0883,0.0645,50,bfloat16
prologue_b4_s512_h1024_o64,fused_rmsnorm_linear,RMSNormLinear,4,512,1024,64,0.0536,0.0381,0.0597,0.0317,50,bfloat16
